processed_tweets,label,predicted_label
"salah program anis mewujudkan jis
   
adalah mewujudkan nusantara

anis",0.0,"[{'label': 'NEGATIVE', 'score': 0.9795070290565491}]"
kementerian pupr menyebut diproyeksikan superhub ekonomi nasional,0.0,"[{'label': 'NEGATIVE', 'score': 0.964686930179596}]"
"jis terwujud
pak anis wujudkan yg programkan 


anis baswedan
presiden",0.0,"[{'label': 'NEGATIVE', 'score': 0.9911544919013977}]"
"yg shalat ied nusantara
 shalat ied nya dimana",0.0,"[{'label': 'NEGATIVE', 'score': 0.9969780445098877}]"
"harapan masyarakat penetapan nama pengesahan uu membawa kemajuan kesejahteraan bangsa indonesia

prokes ramadhan berkah",0.0,"[{'label': 'NEGATIVE', 'score': 0.9845211505889893}]"
harapan masyarakat penetapan nama pengesahan uu membawa kemajuan kesejahteraan bangsa prokes ramadhan berkah,0.0,"[{'label': 'NEGATIVE', 'score': 0.9915503263473511}]"
ajak jepang investasi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9590070247650146}]"
bukanny pindah,0.0,"[{'label': 'NEGATIVE', 'score': 0.6417688131332397}]"
mengajak jepang berinvestasi menyinggung peran investasi jepang,0.0,"[{'label': 'NEGATIVE', 'score': 0.8323475122451782}]"
reposted from atrbpn halo  mendukung kementerian atrbpn penyusunan rencana tata ruang penyusunan kajian lingkungan hidup strategis,1.0,"[{'label': 'NEGATIVE', 'score': 0.9983423352241516}]"
generasi muda,0.0,"[{'label': 'NEGATIVE', 'score': 0.9957391619682312}]"
"reposted from atrbpn halo  mendukung kementerian atrbpn penyusunan rencana tata ruang penyusunan kajian lingkungan hidup strategis nusantara

untuk informasi selengkapnya yuk",1.0,"[{'label': 'NEGATIVE', 'score': 0.9982436299324036}]"
ucapan selamat idul fitri  syawal  hijriah bambang susantono,0.0,"[{'label': 'NEGATIVE', 'score': 0.833087146282196}]"
halo  mendukung kementerian atrbpn penyusunan rencana tata ruang cont,1.0,"[{'label': 'NEGATIVE', 'score': 0.9778749346733093}]"
" the rising star 
presiden istana kemana",0.0,"[{'label': 'POSITIVE', 'score': 0.9980794191360474}]"
harapan masyarakat penetapan nama pengesahan uu membawa kemajuan kesejahteraan bangsa berkah lebaran,0.0,"[{'label': 'NEGATIVE', 'score': 0.9879928827285767}]"
jepang proyekproyek infrastruk air ambon port,0.0,"[{'label': 'NEGATIVE', 'score': 0.8372674584388733}]"
"pm kishida sepakati kerja indonesiajepang

presiden menyebut jepang sepakat meningkatkan kerja bidang ambon port",0.0,"[{'label': 'NEGATIVE', 'score': 0.8419693112373352}]"
"atrbpn 

halo  mendukung kementerian atrbpn penyusunan rencana tata ruang penyusunan kajian lingkungan hidup strategis",0.0,"[{'label': 'NEGATIVE', 'score': 0.9880744814872742}]"
halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkunhan hidup strategis,1.0,"[{'label': 'NEGATIVE', 'score': 0.978622317314148}]"
"mengelola komunikasi publik terkait penanganan permasalahan pertanahan melibatkan peran kementerianlembaga
berita selengkapnya kunjungi",0.0,"[{'label': 'NEGATIVE', 'score': 0.9763986468315125}]"
konsep sosial menghunakan bhinneka tunggal ika masyarakat wilayah amp pendatang dikecualikan perencanaan pengembangan,1.0,"[{'label': 'NEGATIVE', 'score': 0.909417986869812}]"
menyambut kerja bidang infrastruktur berharap partisipasi jepang proyekproyek infrastruktur air ambon port,1.0,"[{'label': 'NEGATIVE', 'score': 0.9156109094619751}]"
berharap jepang terlibat proyek infrastruktur,0.0,"[{'label': 'NEGATIVE', 'score': 0.9641408920288086}]"
"harapan masyarakat penetapan nama pengesahan uu membawa kemajuan kesejahteraan bangsa indonesia

prokes mudik lancar",0.0,"[{'label': 'NEGATIVE', 'score': 0.9861776828765869}]"
"new smart city 

prokes mudik lancar",1.0,"[{'label': 'POSITIVE', 'score': 0.992819607257843}]"
rt  menyambut kerja bidang infrastruktur berharap partisipasi jepang proyekproyek infrastruktur air ambon port,1.0,"[{'label': 'NEGATIVE', 'score': 0.8741097450256348}]"
 menyambut kerja bidang infrastruktur berharap partisipasi jepang proyekproyek infrastruktur air ambon port,1.0,"[{'label': 'NEGATIVE', 'score': 0.9156109094619751}]"
rt menyambut kerja bidang infrastruktur berharap partisipasi jepang proyekproyek infrastruktur air ambon port,1.0,"[{'label': 'NEGATIVE', 'score': 0.8741097450256348}]"
mengajak jepang berpartisipasi proyekproyek infrastruktur salah satunya,0.0,"[{'label': 'NEGATIVE', 'score': 0.9549063444137573}]"
manuver terbaru cari investor megaproyek  softbank investor swasta jepang menarik arab saudi ueachina minat investasi berhasil menggaet jepang lets see,0.0,"[{'label': 'POSITIVE', 'score': 0.9953303337097168}]"
berharap jepang berpartisipasi proyek infrastruktur,1.0,"[{'label': 'NEGATIVE', 'score': 0.8474819660186768}]"
menyambut kerja bidang infrastruktur berharap partisipasi jepang proyekproyek infrastruktur air ambon port,1.0,"[{'label': 'NEGATIVE', 'score': 0.9156109094619751}]"
bertemu kishida harap jepang berinvestasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9761524200439453}]"
new smart city,1.0,"[{'label': 'POSITIVE', 'score': 0.999835729598999}]"
"jepang investasi krn jepang kinerja bambang kedepan gagal  

presiden berharap jepang berinvestasi proyek",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9449905753135681}]"
prioritas nasional ,0.0,"[{'label': 'POSITIVE', 'score': 0.6995790600776672}]"
berharap dukungan jepang,1.0,"[{'label': 'NEGATIVE', 'score': 0.8332197666168213}]"
berharap jepang berinvestasi proyek,1.0,"[{'label': 'POSITIVE', 'score': 0.6245777010917664}]"
harapkan partisipasi jepang proyekproyek infrastruktur ambon port,1.0,"[{'label': 'NEGATIVE', 'score': 0.9551263451576233}]"
"repost atrbpn menyusul undangundang nomor   menteri agraria tata ruangkepala badan 
selengkapnya baca",0.0,"[{'label': 'NEGATIVE', 'score': 0.996863067150116}]"
"repost atrbpn mimpi bangsa mewujudkan patut didukung unsur penduduk wilayah pemerintahan 
selengkapnya baca",1.0,"[{'label': 'NEGATIVE', 'score': 0.9962137937545776}]"
"atrbpn 
halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis",1.0,"[{'label': 'NEGATIVE', 'score': 0.9878115057945251}]"
"atrbpn 
halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat ikn

untuk informasi selengkapnya yuk simak informasi sob",1.0,"[{'label': 'NEGATIVE', 'score': 0.9829496145248413}]"
"repost  halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis nusantara

yuk simak informasi sob",1.0,"[{'label': 'NEGATIVE', 'score': 0.9949267506599426}]"
"repost  halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat ikn

untuk informasi selengkapnya yuk simak informasi sob",1.0,"[{'label': 'NEGATIVE', 'score': 0.9946232438087463}]"
kementerian pupr menyelenggarakan sayembara konsep perancangan bangunan peserta sayembara kunjungan rumahrumah peribadatan salah satunya gereja katedral jakarta selasa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9708928465843201}]"
"ratusan orang uu dibatalkan salah satunya sopir angkot cilincing jakut mengusulkan lampung alasannya jakarta jauh

 baca  lucu tu",0.0,"[{'label': 'NEGATIVE', 'score': 0.9806029796600342}]"
" orang nusantara
 merujuk",0.0,"[{'label': 'POSITIVE', 'score': 0.6242386102676392}]"
"gua kagak pusat ekonomi washinton dc
biarlah pusat ekonomi tersebar provinsi medan jakarta surabaya balikpapan makassar manado denpasar ambon jayapura n lo sebutin",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9704378247261047}]"
rencana kerja  mencakup strategi pendanaan fokus,0.0,"[{'label': 'NEGATIVE', 'score': 0.7135950326919556}]"
"atrbpn

halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis nusantara

untuk informasi selengkapnya",1.0,"[{'label': 'NEGATIVE', 'score': 0.9888509511947632}]"
"atrbpn

halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat ikn

untuk informasi selengkapnya yuk simak informasi sob",1.0,"[{'label': 'NEGATIVE', 'score': 0.9829496145248413}]"
ya kalo segi positifnya tau gmana,0.0,"[{'label': 'NEGATIVE', 'score': 0.9746880531311035}]"
spesifik kesenjangan antarwilayah jawa jawa diturunkan hasil kajian komprehensif,0.0,"[{'label': 'NEGATIVE', 'score': 0.9570325016975403}]"
ayo bangun modernsmartc city birokrasi bersih dibanggakan nkri,0.0,"[{'label': 'POSITIVE', 'score': 0.6035844683647156}]"
masuk proyek prioritas,0.0,"[{'label': 'NEGATIVE', 'score': 0.507667601108551}]"
patroli satgas ops polda kaltim lokasi kota negara,0.0,"[{'label': 'NEGATIVE', 'score': 0.956697404384613}]"
tata ruang bagus memudahkan konsep berwawasan lingkungan hidup,0.0,"[{'label': 'NEGATIVE', 'score': 0.9914422631263733}]"
pengelolaan tata ruang dinilai memadukan berwawasan lingkungan hidup,0.0,"[{'label': 'NEGATIVE', 'score': 0.9781108498573303}]"
"mayoritas responden setuju pernyataaan fokus bangun ketimbang kondisi ekonomi masyarakat
 
",0.0,"[{'label': 'NEGATIVE', 'score': 0.718603789806366}]"
panglima tni menerima kunjungan amp wakil,0.0,"[{'label': 'NEGATIVE', 'score': 0.9504786729812622}]"
bmkg mendukung penuh,1.0,"[{'label': 'NEGATIVE', 'score': 0.825533390045166}]"
berupaya indonesiasentris pemicu arah,0.0,"[{'label': 'NEGATIVE', 'score': 0.7740636467933655}]"
penyelenggaraan daerah khusus,0.0,"[{'label': 'NEGATIVE', 'score': 0.8860086798667908}]"
"atrbpn
     
halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis",1.0,"[{'label': 'NEGATIVE', 'score': 0.9878115057945251}]"
"sit wasit gitu sih   

di ratusan orang mengajukan judicial review uu mahkamah konstitusi mk dibatalkan proses sidang mk menggelar sayembara pembuatan gedung mk",0.0,"[{'label': 'NEGATIVE', 'score': 0.9877578020095825}]"
pengamat pesimis pemenuhan air bersih dugaan berpotensi mengalami krisis air bersih air kelas ,0.0,"[{'label': 'NEGATIVE', 'score': 0.8615037798881531}]"
lemhannas ri menyelenggarakan focus group discussion fgd kajian intellectual exercise ie isuisu strategis rabu  april,0.0,"[{'label': 'NEGATIVE', 'score': 0.9766589999198914}]"
sahabat tannas ketahui memutuskan rencana pemerintahan jakarta,0.0,"[{'label': 'NEGATIVE', 'score': 0.8929626941680908}]"
kegiatan sosialisasi diharapkan pemahaman manajemen karyawan pt pii isi implementasi uu proses bisnis pt pii mendukung akselerasi infrastruktur,1.0,"[{'label': 'NEGATIVE', 'score': 0.9707426428794861}]"
"harapan masyarakat penetapan nama pengesahan uu membawa kemajuan kesejahteraan bangsa indonesia

saya booster",1.0,"[{'label': 'NEGATIVE', 'score': 0.9789289832115173}]"
"harapan masyarakat penetapan nama pengesahan uu ikn

saya booster",1.0,"[{'label': 'NEGATIVE', 'score': 0.9894160032272339}]"
"campus essay ilmiah nih urgent yg berhubungan dgn biaya sesuai teori ekonomi publik 
aku udh nemu judulnya kebijakan pembiayaan proyek gimana",0.0,"[{'label': 'NEGATIVE', 'score': 0.9821372628211975}]"
"orang beragama   dibangun ritual sirik musrik  mari pakai nalar 

diakui diakui agama ritual sirik amp musrik",-1.0,"[{'label': 'NEGATIVE', 'score': 0.9727404713630676}]"
harapan masyarakat penetapan nama pengesahan uu membawa kemajuan kesejahteraan bangsa booster,1.0,"[{'label': 'NEGATIVE', 'score': 0.9901242256164551}]"
konsep pemerataan barat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9083191752433777}]"
ketua satuan tugas pelaksanaan infrastruktur kementerian pupr danis h sumadilaga generasi muda,1.0,"[{'label': 'NEGATIVE', 'score': 0.994391918182373}]"
ratusan warga meninggalkan distrik ilaga kabupaten puncak menghindari serangan kelompok kriminal bersenjata menyerang aparat keamanan mengincar warga,0.0,"[{'label': 'NEGATIVE', 'score': 0.9865731000900269}]"
"punah dugaan prabowo china islamnya nusantara

pas susunya",0.0,"[{'label': 'NEGATIVE', 'score': 0.9844182729721069}]"
"elon musk tercatat maju mundur rencana investasi indonesia

pada elon musk minatnya berinvestasi membangun situs peluncuran spacex",0.0,"[{'label': 'NEGATIVE', 'score': 0.9733527898788452}]"
jakarta  sidang gugatan undangundang nomor   uu diajukan mantan wakil ketua kpk busyro muqoddas aliansi masyarakat adat amanhingga wahana lingkungan hidup walhi digelar,0.0,"[{'label': 'NEGATIVE', 'score': 0.9840566515922546}]"
bukti konsep keadilan rakyat terwujud,0.0,"[{'label': 'NEGATIVE', 'score': 0.9681034684181213}]"
momentum pemulihan lingkungan hidup,1.0,"[{'label': 'NEGATIVE', 'score': 0.9738916754722595}]"
udah tuh kompas lihatlah aja pake advertorial siluman,0.0,"[{'label': 'NEGATIVE', 'score': 0.9896950721740723}]"
"atrbpn with repost
     
halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat",1.0,"[{'label': 'NEGATIVE', 'score': 0.9921197295188904}]"
"atrbpn with repost
     
halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis",1.0,"[{'label': 'NEGATIVE', 'score': 0.9942131638526917}]"
"dah bem dah lawa fronting office more friendly

nak pickup sijil asean pacific international engineer

mana tau bole berkhidmat indonesia

doakanamin",0.0,"[{'label': 'POSITIVE', 'score': 0.8265854120254517}]"
"halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis nusantara

yuk simak informasi sob",1.0,"[{'label': 'NEGATIVE', 'score': 0.9863380789756775}]"
"harapan masyarakat penetapan nama pengesahan uu ikn
ramadhan utamakan prokes",1.0,"[{'label': 'NEGATIVE', 'score': 0.9895691871643066}]"
bangun destinasi wisata budaya dikembangkan,0.0,"[{'label': 'NEGATIVE', 'score': 0.9068246483802795}]"
momentum pemberdayaan potensi nasional,1.0,"[{'label': 'POSITIVE', 'score': 0.8448672890663147}]"
dicintai dihargai kesatuan armila pejuang septiani,0.0,"[{'label': 'NEGATIVE', 'score': 0.9896794557571411}]"
promosikan turnamen pramusim resmi liga   direncanakan digelar   rencana turnamen pramusim resmi liga   mempromosikan,1.0,"[{'label': 'NEGATIVE', 'score': 0.992662787437439}]"
menteri investasi bahlil lahadalia membantah kabar ceo softbank group corp masayoshi son mundur proyek,0.0,"[{'label': 'NEGATIVE', 'score': 0.927614688873291}]"
staf kepresidenan jenderal purn  konsep keadilan dibawa,1.0,"[{'label': 'NEGATIVE', 'score': 0.9735919237136841}]"
kalo thn  belom cpns sehat ajadeh tamat d jawa nyoba sehat  penasaran hidup pengabdi ambil daerah yg  gapapa deh belajar ,0.0,"[{'label': 'NEGATIVE', 'score': 0.9943249821662903}]"
"moel  lahirkan keseimbangan baru

ksp  konsep keadilan",0.0,"[{'label': 'NEGATIVE', 'score': 0.9404275417327881}]"
ppu  mendukung situasi kondusif polda kaltim andil mengambil mengamankan kegiatan aktivitas lokasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9862133860588074}]"
staf kepresidenan jenderal purn moeldoko konsep keadilan dibawa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9673859477043152}]"
halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis cont,1.0,"[{'label': 'NEGATIVE', 'score': 0.9888401627540588}]"
diduga berpotensi mengalami krisis air bersih utamanya air kelas ,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9230007529258728}]"
halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat cont,1.0,"[{'label': 'NEGATIVE', 'score': 0.8864257335662842}]"
"reposted from atrbpn halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis nusantara

untuk i",1.0,"[{'label': 'NEGATIVE', 'score': 0.9984134435653687}]"
ketua lembaga swadaya masyarakat lsm rumah budaya kutai hasrulliansyah wachyuni nilai manfaat masyarakat,0.0,"[{'label': 'NEGATIVE', 'score': 0.9767284989356995}]"
reposted from atrbpn halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis,1.0,"[{'label': 'NEGATIVE', 'score': 0.9983808398246765}]"
uu no dimohonkan diuji formil mahkamah konstitusi mk kali diajukan aliansi masyarakat adat aman,0.0,"[{'label': 'NEGATIVE', 'score': 0.9896074533462524}]"
bangun destinasi wisata budaya dikembangkan  via,0.0,"[{'label': 'NEGATIVE', 'score': 0.949664294719696}]"
kehadiran bendungan memenuhi kebutuhan air baku pengendalian banjir,0.0,"[{'label': 'NEGATIVE', 'score': 0.7139654755592346}]"
kearifan lokal dikenal,1.0,"[{'label': 'NEGATIVE', 'score': 0.9237279891967773}]"
reposted from atrbpn halo  mendukung kementerian atrbpn rencana penyusunan tata ruang,1.0,"[{'label': 'NEGATIVE', 'score': 0.9980877637863159}]"
reposted from atrbpn halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9978443384170532}]"
mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis,1.0,"[{'label': 'NEGATIVE', 'score': 0.9921097755432129}]"
mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat,1.0,"[{'label': 'NEGATIVE', 'score': 0.9101535081863403}]"
halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat informasi selengkapnya yuk simak informasi sob,1.0,"[{'label': 'NEGATIVE', 'score': 0.9545975923538208}]"
halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis informasi selengkapnya yuk simak,1.0,"[{'label': 'NEGATIVE', 'score': 0.9845454692840576}]"
wujud nyata bentuk konkret sistem demokrasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9542409181594849}]"
simbol identitas bangsa diwujudkan ruangruang fisik,1.0,"[{'label': 'NEGATIVE', 'score': 0.9916996359825134}]"
mengambil langkah strategis mewujudkan new smart city wadah ekosistem super hub pusat teknologi digital tingkat global,0.0,"[{'label': 'NEGATIVE', 'score': 0.649025022983551}]"
kementerian komunikasi informatika  mengambil langkah strategis mewujudkan new smart city wadah ekosistem super hub pusat teknologi digital tingkat global,0.0,"[{'label': 'NEGATIVE', 'score': 0.6133339405059814}]"
halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis informasi selengkapnya yuk simak informasi sob,1.0,"[{'label': 'NEGATIVE', 'score': 0.988286554813385}]"
lapangan,0.0,"[{'label': 'POSITIVE', 'score': 0.979651689529419}]"
kabupaten penajam paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9289202690124512}]"
perubahan kedudukan provinsi selatan banjarmasin banjarbaru ditentang mengajukan uji materi undangundang nomor   provinsi kalsel mk,0.0,"[{'label': 'NEGATIVE', 'score': 0.9739614129066467}]"
"halo  mendukung kementerian atrbpn rencana penyusunan tata ruang penyusunan kajian lingkungan hidup strategis ikn
source 
yuk simak informasi sob",1.0,"[{'label': 'NEGATIVE', 'score': 0.9877610802650452}]"
tenggelam pindah ,-1.0,"[{'label': 'POSITIVE', 'score': 0.5790661573410034}]"
"berita   softbank mundur proyek nusantara

berita   softbank alihkan investasi sumatera barat

apakah muncul isu nii bersenjatakan golok sumatera barat",0.0,"[{'label': 'NEGATIVE', 'score': 0.9963037371635437}]"
menkominfo johnny g plate langkah bijak,0.0,"[{'label': 'NEGATIVE', 'score': 0.8759502172470093}]"
"kementerian komunikasi informatika mengambil langkah strategis mewujudkan new smart city
simak berita selengkapnya",0.0,"[{'label': 'NEGATIVE', 'score': 0.7330365777015686}]"
"calon warga 

uuuuurrrrrraaaaaaaa",-1.0,"[{'label': 'NEGATIVE', 'score': 0.989160418510437}]"
merepresentasikan ide kemajuan inklusif bhineka tunggal ika visi pengembangan new smart metropolis cerdas mengintegrasikan aspek teknologi informasi komunikasi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9746019840240479}]"
"reposted from atrbpn halo  mendukung kementerian atrmengatur kebutuhan pengadaan inti pusat ikn

untuk informasi selengkapnya yuk simak informasi s",1.0,"[{'label': 'NEGATIVE', 'score': 0.9981024265289307}]"
upaya smart city dampak positif indikator utama kemajuan ekosistem digital,1.0,"[{'label': 'POSITIVE', 'score': 0.750006914138794}]"
prinsip pengembangan menerapksn pendekatan hutan spons cerdas,0.0,"[{'label': 'NEGATIVE', 'score': 0.9365505576133728}]"
kementerian komunikasi informatika mengambil langkah strategis mewujudkan new smart city wadah ekosistem super hub pusat teknologi digital tingkat global,0.0,"[{'label': 'NEGATIVE', 'score': 0.6133339405059814}]"
dorong mendukung persiapan smart city smart state pelosok daerah,1.0,"[{'label': 'POSITIVE', 'score': 0.9962228536605835}]"
staf kepresidenan ksp drmoeldoko  konsep keadilan dibawa konkret sistem demokrasi,0.0,"[{'label': 'NEGATIVE', 'score': 0.9730250835418701}]"
"konsep pemerataan barat 
dengan kesenjangan",0.0,"[{'label': 'NEGATIVE', 'score': 0.9428682923316956}]"
"mengambil langkah strategis mewujudkan new smart city wadah ekosistem super hub pusat teknologi digital tingkat global

ini mimpi  digital maju",0.0,"[{'label': 'NEGATIVE', 'score': 0.9210720062255859}]"
kementerian  mengambil langkah strategis mewujudkan new smart city wadah ekosistem super hub pusat teknologi digital tingkat global,0.0,"[{'label': 'POSITIVE', 'score': 0.5826916098594666}]"
pendekatan menciptakan kesetaraan akses masyarakat menteri komunikasi informatika menkominfo johnny g plate,0.0,"[{'label': 'NEGATIVE', 'score': 0.9702897667884827}]"
kominfo mewujudkan new smart city amp wadah ekosistem super hub pusat teknologi digital tingkat global,0.0,"[{'label': 'NEGATIVE', 'score': 0.6202506422996521}]"
 ,0.0,"[{'label': 'POSITIVE', 'score': 0.748120903968811}]"
anggota komisi v dpr fraksi partai keadilan sejahtera pks suryadi jaya purnama mendesak menunda proyek,0.0,"[{'label': 'NEGATIVE', 'score': 0.9394508600234985}]"
reposted from  halo  rangka mendukung kementerian atrbpn survei peta tematik pertanahan ruang bertujuan pemanfaatan penggunaan ruang,1.0,"[{'label': 'NEGATIVE', 'score': 0.997331440448761}]"
wujud nyata bentuk konkret sistem demokrasi,1.0,"[{'label': 'NEGATIVE', 'score': 0.9542409181594849}]"
"setuju
pemimdahan mematahkan steriotip jawa sentris sentris konsep keadilan luarbiasa",1.0,"[{'label': 'NEGATIVE', 'score': 0.9666222929954529}]"
pastikan situasi aman personel ops polda kaltim patroli wilayah kota nusantara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9846733212471008}]"
solusi permasalahan tantangan yg dtg ketahanan air amp energi,0.0,"[{'label': 'NEGATIVE', 'score': 0.6794463396072388}]"
mampir,0.0,"[{'label': 'POSITIVE', 'score': 0.9576996564865112}]"
ksp jenderal purn  konsep keadilan dibawa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9775931239128113}]"
konsep keadilan wujud nyata bentuk konkret sistem demokrasi dibawa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9826859831809998}]"
staf kepresidenan jenderal purn  konsep keadilan dibawa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9735919237136841}]"
"konsep keadilan 

 wujud nyata bentuk konkret sistem demokrasi",0.0,"[{'label': 'NEGATIVE', 'score': 0.9725582003593445}]"
"moeldoko konsep keadilan dibawa jokowi

pemindahan wujud nyata bentuk konkret sistem demokrasi",0.0,"[{'label': 'NEGATIVE', 'score': 0.9814525842666626}]"
wujud nyata bentuk konkret sistem demokrasi  staf kepresidenan  bertemu organisasi kepemudaan pemuda demokrat jakarta jumat,0.0,"[{'label': 'NEGATIVE', 'score': 0.968475341796875}]"
staf kepresidenan jenderal purn  pmbangunan merupakn konsep keadilan dibawa,0.0,"[{'label': 'NEGATIVE', 'score': 0.9740222692489624}]"
repost  halo  rangka mendukung kementerian atrbpn survei peta tematik pertanahan ruang bertujuan pemanfaatan penggunaan ruang,1.0,"[{'label': 'NEGATIVE', 'score': 0.9938599467277527}]"
"staf kepresidenan jenderal purn moeldoko konsep keadilan dibawa jokowi
 wujud keadilan desentralisasi pemerataan keadilan",0.0,"[{'label': 'NEGATIVE', 'score': 0.9921604990959167}]"
"harapan masyarakat penetapan nama pengesahan uu ikn
booster mudik terlindungi",0.0,"[{'label': 'NEGATIVE', 'score': 0.9852007031440735}]"
teluk balikpapan berdekatan habitat ribuan bekantan,0.0,"[{'label': 'POSITIVE', 'score': 0.7665721774101257}]"
"atrbpn

halo  rangka mendukung kementerian atrbpn survei peta tematik pertanahan ruang bertujuan pemanfaatan penggunaan ruang",1.0,"[{'label': 'NEGATIVE', 'score': 0.977292001247406}]"
arogansi kebodohan politik penamaan,-1.0,"[{'label': 'NEGATIVE', 'score': 0.5784347057342529}]"
moeldoko konsep keadilan,0.0,"[{'label': 'POSITIVE', 'score': 0.8426692485809326}]"
"halo  rangka mendukung kementerian atrbpn survei peta tematik pertanahan ruang bertujuan pemanfaatan penggunaan ruang ikn

untuk informasi selengkapnya yuk simak informasi",1.0,"[{'label': 'NEGATIVE', 'score': 0.945883572101593}]"
senang bertemu badan  membahas rencana peluang  amp  berkolaborasi proyek bersejarah,0.0,"[{'label': 'NEGATIVE', 'score': 0.954582154750824}]"
penajam  kepolisian andil mengambil rangka kecamatan sepaku penajam paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9668858051300049}]"
mempercepat pembangunaan bendungan sepaku semoi kabupaten penajam paser utara mendukung kebutuhan air baku pengendalian banjir provinsi kaltim,1.0,"[{'label': 'NEGATIVE', 'score': 0.9512476921081543}]"
"atrbpn 
halo  rangka mendukung kementerian atrbpn survei peta tematik pertanahan ruang bertujuan pemanfaatan penggunaan ruang",1.0,"[{'label': 'NEGATIVE', 'score': 0.977292001247406}]"
wandy menjabarkan enam rancangan peraturan pelaksanaan uu salah satunya rancangan peraturan kewenangan khusus,0.0,"[{'label': 'NEGATIVE', 'score': 0.9532915949821472}]"
"atrbpn

halo  rangka mendukung kementerian atrbpn survei peta tematik pertanahan ruang bertujuan pemanfaatan penggunaan ruang ikn

untuk inform",1.0,"[{'label': 'NEGATIVE', 'score': 0.9812573790550232}]"
"kementerian pupr mempercepat pembangunaan bendungan sepaku semoi kabupaten penajam paser utara mendukung kebutuhan air baku pengendalian banjir kaltim
 gaspol infrastruktur",1.0,"[{'label': 'NEGATIVE', 'score': 0.9819732308387756}]"
mengaji  melaksanakan semaan alquran  lokasi  mendoakan selamat sukses acara diousatkan ppu,0.0,"[{'label': 'NEGATIVE', 'score': 0.9842022061347961}]"
"nusantara
mahasewa mahasiswa",0.0,"[{'label': 'POSITIVE', 'score': 0.694760799407959}]"
halo  rangka mendukung kementerian atrbpn survei peta tematik pertanahan ruang bertujuan pemanfaatan penggunaan ruang,1.0,"[{'label': 'NEGATIVE', 'score': 0.8574956655502319}]"
dipercaya mendesain istana garuda penajem paser utara,0.0,"[{'label': 'NEGATIVE', 'score': 0.9573119282722473}]"
kejamnya mukidi sekejam calon,-1.0,"[{'label': 'NEGATIVE', 'score': 0.9744378328323364}]"
mengelola komunikasi publik terkait penanganan permasalahan pertanahan melibatkan peran kementerianlembaga kolaborasi efektif kementerianlembaga,0.0,"[{'label': 'NEGATIVE', 'score': 0.9852961301803589}]"
menindaklanjuti rapat kickoff pemantauan infrastruktur,0.0,"[{'label': 'NEGATIVE', 'score': 0.9744988679885864}]"
"wakil ketua mpr jazilul fawaid mengajak masyarakat meragukan pembangunan ibu negara ikn optimisti optimistis pemindahan ikn nusantara di kabupaten penajam paser utara 
 gaspol infrastruktur",0.0,"[{'label': 'NEGATIVE', 'score': 0.960189938545227}]"
